¹ö½ºÁ¤·ùÀå,½ÂÇÏÂ÷ÃÑ½Â°´¼ö,XÁÂÇ¥,YÁÂÇ¥
23858,131,127.0621324,37.5146268
23469,281,127.0471955,37.49335993
23472,290,127.046842,37.49363877
23120,362,127.0317185,37.50672595
23267,117,127.0319302,37.50662925
23333,332,127.0545908,37.492517
23946,159,127.0945213,37.46678287
23947,56,127.0943717,37.46673808
23147,270,127.034811,37.51529721
23413,450,127.1003251,37.46537205
23942,860,127.1009129,37.46681028
23943,284,127.1013639,37.46571194
23962,292,127.1017302,37.46650387
23434,163,127.0985637,37.46565534
23941,266,127.0975776,37.46685487
23296,821,127.0459062,37.49621982
23297,643,127.0457757,37.49600003
23303,504,127.0408505,37.49668038
23924,252,127.0448081,37.49346465
22172,3316,127.025122,37.50287594
22838,1786,127.0249422,37.50324888
23121,445,127.0261192,37.50507711
23122,1589,127.023986,37.505852
23266,253,127.025686,37.50478256
23268,1077,127.0345601,37.50555464
23269,1605,127.0345,37.50605391
23286,2110,127.0256799,37.50232729
22005,3039,127.0323669,37.48759241
22006,2952,127.0329932,37.48689708
22132,1346,127.0321452,37.48806521
22499,194,127.0321697,37.48802013
23316,861,127.0490211,37.4880596
23321,2212,127.0328243,37.4898571
23324,647,127.0493405,37.48798402
23325,379,127.050304,37.48705174
23326,424,127.0505956,37.48694265
23327,1116,127.0520533,37.4892465
23481,327,127.0413172,37.48897614
23504,293,127.0411504,37.48690365
23525,275,127.0415393,37.49006245
23217,3329,127.0554672,37.50660252
23218,2101,127.0504609,37.50505126
23241,181,127.0511052,37.50524819
23259,4326,127.0503251,37.50479339
23260,3243,127.055021,37.50624
23181,2719,127.0395189,37.52434187
23432,1613,127.0397718,37.52147547
23507,2786,127.0396473,37.52138237
23200,1193,127.0419166,37.51534181
23290,1146,127.0419869,37.51550661
23242,2537,127.0641116,37.50742457
23183,832,127.0479939,37.52300522
22009,6460,127.0283494,37.49602648
22010,7585,127.0291627,37.49495653
22119,993,127.0285876,37.49263309
22120,1918,127.0289422,37.49264329
22126,1174,127.0298426,37.48892239
22131,1818,127.0296161,37.49338614
22869,1020,127.0294803,37.49366364
22887,237,127.0303124,37.48921641
23284,2265,127.0298788,37.49875038
23287,3073,127.0290811,37.49827462
23572,628,127.0294161,37.49442502
23617,619,127.0295154,37.49421735
23101,3286,127.0204417,37.52299569
23102,2833,127.0210868,37.52348668
23103,2183,127.0251671,37.52550414
23104,2053,127.024444,37.5252724
23160,2716,127.0396184,37.52499163
23531,1199,127.0158197,37.52428981
23219,570,127.056555,37.49154129
23227,887,127.0586311,37.49248886
23228,700,127.0564714,37.49128511
23232,1271,127.0556251,37.49024553
23229,851,127.0595212,37.49269902
23207,551,127.05082,37.517466
23298,538,127.0443275,37.49957199
23299,533,127.0439167,37.4999158
23214,2359,127.0484415,37.50577805
23248,1546,127.0618406,37.5040754
23249,1667,127.0614992,37.50406915
23256,504,127.0567945,37.50252373
23261,689,127.0582748,37.50344603
23262,1389,127.0591891,37.5016508
23276,2269,127.0482359,37.50590508
23307,2309,127.0499279,37.50228127
23509,1159,127.0657482,37.504366
23247,1619,127.059741,37.50099637
23347,209,127.0655367,37.4848572
23463,1098,127.1010814,37.47387813
23471,1120,127.0953982,37.47238613
23317,1435,127.0445829,37.48612816
23323,2927,127.0449095,37.4860326
23863,536,127.0538441,37.47603313
23454,181,127.106655,37.46492508
23411,144,127.1079345,37.46895775
23884,412,127.1078082,37.46512638
23381,1530,127.0847589,37.48344961
23530,1317,127.1048108,37.47523744
23538,1220,127.1048922,37.47519317
23938,101,127.1042165,37.4693027
22013,6932,127.0230119,37.50722032
22014,6811,127.0237329,37.50636851
22190,3117,127.0196567,37.51047358
22191,1334,127.0220696,37.50914456
22193,623,127.023835,37.50439506
22631,503,127.0235965,37.50602489
23117,1428,127.0224406,37.51134044
23123,1841,127.0218369,37.51027193
23456,1952,127.0555989,37.49002357
23896,135,127.1043893,37.46912424
23948,154,127.0999985,37.46717322
23329,658,127.0525143,37.48967059
23424,1129,127.1063639,37.47533451
23427,1121,127.106271,37.47514075
23527,240,127.1076654,37.47615629
23526,786,127.1072029,37.47593807
22271,960,127.0421251,37.4833296
22743,740,127.0420829,37.48342154
23322,537,127.0421643,37.48350402
23380,789,127.0909919,37.48438155
23405,136,127.1080336,37.46912609
23937,42,127.1061182,37.47103364
23337,55,127.0619375,37.48140122
23345,1294,127.063554,37.48018272
23457,952,127.0635308,37.4801104
23274,84,127.0430366,37.50992661
23288,1966,127.0337243,37.49970454
23428,554,127.1070388,37.47224746
23822,366,127.0862844,37.4932805
23823,344,127.0863494,37.49324399
23383,360,127.0820937,37.48292634
23283,1548,127.0351115,37.50037718
23169,1867,127.0564041,37.52083279
23170,1757,127.0564041,37.52083279
23171,1184,127.056698,37.52097906
23480,567,127.0936549,37.4674634
23482,808,127.0937662,37.46785024
23439,171,127.0956402,37.46502827
23893,34,127.1015957,37.46484497
23967,74,127.1013528,37.46345013
23993,157,127.1015384,37.46460111
23421,237,127.109527,37.464872
23416,72,127.1099503,37.46475524
23933,12,127.1064001,37.47094558
23417,74,127.1163096,37.46581087
23422,181,127.1085032,37.46569252
23940,114,127.1016541,37.46769064
23629,122,127.1018383,37.46772583
23949,61,127.0968429,37.46734927
23449,1303,127.0795578,37.48256739
23425,425,127.1049597,37.48198879
23513,563,127.0436281,37.4980614
23564,419,127.0868465,37.48947595
23194,307,127.0647314,37.51493123
23855,310,127.0648195,37.51508105
23332,392,127.0535003,37.49477055
22439,646,127.0422642,37.48328105
23339,677,127.0540141,37.48075791
23364,734,127.0544201,37.48019919
23371,243,127.0531236,37.48069354
23378,313,127.0511492,37.47948085
23379,381,127.0529307,37.48051791
23423,672,127.1072023,37.47237876
23196,2445,127.0659525,37.50976687
23168,657,127.0557493,37.52269588
23114,3006,127.0302458,37.51480707
23129,567,127.036104,37.51568226
23130,214,127.035466,37.517034
23131,315,127.0352148,37.51732697
23132,3441,127.0302709,37.51512743
23140,447,127.0354299,37.51433648
23141,908,127.0352147,37.5135491
23142,693,127.0361459,37.51093155
23197,4710,127.0625198,37.51033827
23198,2637,127.061235,37.51198819
23199,1927,127.0622365,37.51019192
23201,3080,127.0617469,37.50857596
23922,226,127.0627742,37.50988152
23923,288,127.0625984,37.51019688
23137,557,127.0427538,37.5100127
23749,1866,127.0460875,37.48517686
22270,2667,127.0373914,37.48490006
23146,1187,127.031989,37.5114112
23382,1241,127.079863,37.482744
23224,2781,127.0612358,37.49796533
23234,1498,127.061359,37.4980418
23233,2355,127.0627366,37.49555227
23237,913,127.0670015,37.4957066
23238,831,127.0676623,37.49570335
23857,826,127.0666384,37.50190946
23223,3015,127.0594871,37.49833508
23263,3155,127.0598771,37.49865616
23309,1425,127.0523083,37.49722034
23493,11,127.0683599,37.48642823
23362,331,127.0743951,37.4884024
23476,18,127.0722395,37.48691074
23477,12,127.0733931,37.48790816
23492,45,127.0722214,37.48696575
23508,38,127.0729295,37.48756879
23373,760,127.0468403,37.47871788
23376,915,127.0471983,37.4787144
23400,1105,127.0875334,37.49197895
23226,2025,127.0615359,37.49380888
23230,1094,127.0619663,37.49380617
23206,2150,127.047983,37.5183
23222,2667,127.054102,37.49652366
23265,1732,127.0539777,37.49668113
22863,1248,127.032365,37.48423692
23154,676,127.0338028,37.53007813
23164,811,127.0340115,37.52993047
23148,4271,127.0305769,37.52844434
23158,4040,127.0395277,37.52813746
23426,379,127.1044939,37.48267121
23293,385,127.0341089,37.49432357
23292,447,127.0339849,37.49418122
23374,743,127.0451544,37.47839774
23375,1137,127.0451768,37.47833897
23359,1160,127.0757447,37.49231796
23600,509,127.0754048,37.49234269
23361,293,127.0737925,37.48897455
23173,1981,127.0521193,37.51919735
23186,2794,127.0523142,37.51910104
22336,135,127.0914111,37.46372113
23464,1209,127.1018076,37.47396505
23543,233,127.1061008,37.46482638
23431,2029,127.0334295,37.50797292
23271,638,127.0389433,37.50804917
23159,3749,127.0393076,37.5280591
23156,2561,127.0365188,37.52887293
23157,3303,127.0360981,37.52885099
23386,386,127.0829077,37.48652368
23387,370,127.0825056,37.48704127
23388,172,127.083308,37.48512233
23546,823,127.0836701,37.48426267
23552,97,127.0830368,37.48619798
23558,853,127.0841985,37.48803191
23878,136,127.082768,37.48646188
23462,403,127.0805663,37.49121418
23586,636,127.0806566,37.49132573
23153,579,127.0332071,37.52673409
23150,1899,127.1047391,37.48457671
23320,132,127.103707,37.48488229
23403,565,127.1000246,37.48841254
23871,363,127.0997662,37.48862823
23874,276,127.084149,37.49257161
23981,579,127.0828619,37.48896788
23389,1168,127.0874404,37.4903641
23994,1784,127.0876807,37.49065688
23166,4299,127.0494492,37.52458315
23500,117,127.0719832,37.49720432
23520,72,127.0760078,37.498252
23521,76,127.0761601,37.49849368
23244,3239,127.0635395,37.50773087
23741,1502,127.0638668,37.50788111
23220,941,127.0550171,37.49186389
23522,146,127.0550422,37.48193766
23340,629,127.0529226,37.48263323
23363,378,127.0528614,37.48227641
23505,243,127.0551116,37.48208982
22584,192,127.0419441,37.48098086
22930,166,127.0425654,37.48149371
23532,13,127.0669451,37.51284548
23917,131,127.0804488,37.49147072
