NUM,NAME,LAT,LONG,LOC1,LOC2,TYPE,,,,,,,,,,
71,NH농협은행 선정릉역지점,37.51019154,127.0438322,강남구,역삼동,P,,,,,,,,,,
72,라이프온투게더,37.50949929,127.0415474,강남구,역삼동,E,,,,,,,,,,
73,커피빈 (선릉역3번출구) 앞,37.50396125,127.0491601,강남구,역삼동,P,,,,,,,,,,
74,스파크플러스 선릉점,37.50533389,127.0511424,강남구,역삼동,S-P,,,,,,,,,,
75,스파크플러스 선릉 2호점,37.50521923,127.0519719,강남구,역삼동,S-P,,,,,,,,,,
76,FASTFIVE 삼성4호점,37.51349454,127.062045,강남구,삼성동,F,,,,,,,,,,
77,봉은사역 6번출구 앞,37.51399486,127.0606348,강남구,삼성동,P,,,,,,,,,,
78,FASTFIVE 삼성1호점,37.51011883,127.0582583,강남구,삼성동,F,,,,,,,,,,
79,스파크플러스 삼성점,37.50965833,127.0582354,강남구,삼성동,S-P,,,,,,,,,,
80,FASTFIVE 삼성2호점,37.50707518,127.0566796,강남구,삼성동,F,,,,,,,,,,
81,FASTFIVE 삼성3호점,37.50726242,127.0571946,강남구,삼성동,F,,,,,,,,,,
82,스파크플러스 삼성 2호점,37.50704153,127.060885,강남구,삼성동,S-P,,,,,,,,,,
83,잠실새내역,37.51140961,127.0854379,송파구,잠실본동,P,,,,,,,,,,
84,석촌호수 카페 거리 입구,37.50640544,127.0973534,송파구,석촌동,P,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
