버스정류장ARS번호,승하차총승객수,X좌표,Y좌표
10229,123,127.0410898,37.65330688
1023,9601,127.0134621,37.57228008
10231,249,127.0446566,37.65117725
10232,144,127.0445163,37.6513322
10234,2139,127.0461766,37.65234898
10235,76,127.052611,37.65267016
10236,239,127.0520316,37.65265731
10241,721,127.0485928,37.64524058
10242,975,127.0480961,37.64524869
10244,210,127.0441883,37.64409474
10245,394,127.0440759,37.64415247
10246,791,127.04099,37.641567
10247,903,127.0408271,37.64155708
10248,1376,127.0393592,37.63989902
10249,1445,127.0395429,37.64025388
10250,2139,127.0372708,37.63767408
10251,1108,127.0370048,37.6375444
10252,575,127.033607,37.64089
10253,452,127.0335763,37.64078937
10256,64,127.0372476,37.64623769
10257,83,127.0377305,37.64635582
10258,59,127.0348494,37.64605716
10259,75,127.0348589,37.64611205
10260,113,127.0399082,37.64576325
10261,292,127.0395826,37.64614508
10262,404,127.0405207,37.6430285
10263,74,127.0404234,37.64321819
10264,751,127.0367097,37.64262034
10265,5302,127.0500123,37.65387326
10266,3730,127.0503826,37.65369581
10269,29,127.0441397,37.6469422
10270,44,127.0436227,37.6483094
10271,54,127.0430331,37.64860584
10272,40,127.0416712,37.65132235
10273,48,127.0415579,37.6513239
10276,1339,127.0279423,37.65654199
10277,1669,127.0279239,37.65562225
10278,625,127.0537998,37.64588522
10279,527,127.0539102,37.64598692
10280,348,127.0429004,37.63431473
10281,292,127.04289,37.63428071
10282,216,127.0434166,37.63353966
10283,313,127.0434513,37.63343688
10284,213,127.0411552,37.63395253
10285,298,127.0411694,37.63392734
10286,228,127.0397818,37.63342084
10287,323,127.0400452,37.63346916
10292,91,127.052653,37.64523406
10293,165,127.0527244,37.64524417
10294,149,127.0366078,37.66519605
10295,116,127.0381393,37.66622736
10296,110,127.04063,37.66722904
10297,180,127.0404078,37.65602882
10298,411,127.0404893,37.65604431
10299,716,127.0469328,37.66156293
10301,62,127.038402,37.63547988
10302,857,127.0278151,37.65916494
10303,150,127.0493046,37.67823086
10304,332,127.0419327,37.66198436
10305,142,127.0385498,37.65141446
10306,274,127.0332252,37.65105606
10309,789,127.0356495,37.66530003
10310,565,127.03556,37.6652479
10311,411,127.0323983,37.6423402
10312,166,127.0383203,37.63548371
10313,105,127.0351559,37.63771696
10314,201,127.0345285,37.63868245
10315,1342,127.0383498,37.64325568
10317,402,127.0410475,37.68717477
10320,201,127.0319037,37.66872256
10321,465,127.0299503,37.66908148
10325,533,127.0139573,37.65894483
10330,2119,127.0384187,37.63888088
10331,1524,127.0384233,37.63903483
10333,333,127.0329201,37.66766474
10334,334,127.0329985,37.66772717
10335,714,127.0501372,37.65482868
10336,391,127.0317762,37.64266358
10337,240,127.0325992,37.6667776
10340,293,127.0443587,37.68994699
10341,362,127.043406,37.690199
1037,7064,127.0124928,37.57216719
1041,3324,127.017533,37.573432
1044,5715,127.019639,37.57430372
10502,305,127.030263,37.66289342
10503,1013,127.0284618,37.64587039
10504,916,127.0252402,37.65069287
10505,852,127.0225084,37.65276241
10509,469,127.0286535,37.64457167
10510,83,127.02521,37.64995949
10511,217,127.0233492,37.65144535
10512,216,127.0152052,37.65727356
10515,31,127.0258174,37.64974727
10516,177,127.022646,37.650602
10517,315,127.0157455,37.65568594
10519,281,127.0277617,37.65869317
10521,53,127.0265122,37.64936968
10522,37,127.0231703,37.64953152
10526,110,127.0264449,37.64817344
10527,558,127.0229542,37.64894378
10528,196,127.0171615,37.65271952
10529,218,127.0478011,37.66115986
10532,438,127.0248948,37.64771002
10533,212,127.0203384,37.65017251
10535,172,127.0294857,37.65076643
10536,608,127.0355034,37.65804798
10537,306,127.0217016,37.64964089
10540,256,127.0461711,37.66739642
10541,494,127.034905,37.65117715
10542,544,127.0323944,37.65797162
10546,119,127.0266532,37.64821639
10549,50,127.0457688,37.67121597
10550,128,127.0347257,37.64606788
10551,237,127.0301237,37.65784079
10553,98,127.0508364,37.6532658
10554,146,127.0467676,37.67324743
10556,108,127.0371363,37.64622985
10557,204,127.0282972,37.65770461
10560,160,127.0472775,37.67473887
10561,39,127.039766,37.67102856
10563,91,127.0274208,37.65842062
10564,238,127.0265531,37.65760537
10565,23,127.0313864,37.65091606
10568,25,127.0408487,37.67285669
10569,248,127.0403711,37.64419691
10570,501,127.0251577,37.65939024
10572,75,127.049127,37.67769975
10573,16,127.0425012,37.67447847
10575,231,127.0249764,37.65833557
10578,26,127.043586,37.67567206
10580,27,127.0274532,37.6583414
10582,173,127.0266757,37.64941911
10583,573,127.0249208,37.64776007
10584,62,127.0379765,37.65136704
10585,132,127.0456273,37.68100504
10586,40,127.0437007,37.67719027
10587,469,127.0354301,37.64212422
10588,621,127.0293885,37.6576723
10590,116,127.0259308,37.64982204
10592,145,127.0465741,37.68323873
10593,40,127.0436203,37.67861652
10594,404,127.0337711,37.64077486
10597,65,127.0251563,37.65008881
10598,127,127.0232614,37.64961467
10599,135,127.0516359,37.65242572
10600,152,127.0488738,37.68271329
10604,30,127.0433892,37.67964198
10612,505,127.032568,37.65787285
10637,212,127.0227364,37.65052325
10638,180,127.0494916,37.68384374
10657,151,127.0381562,37.65151533
10667,26,127.0423379,37.67903939
10697,119,127.0234476,37.65137665
10698,19,127.0514831,37.68423537
10700,679,127.0504758,37.64567654
10701,156,127.0485763,37.64698029
10702,239,127.047833,37.64865145
10703,2423,127.0463025,37.65232018
10704,76,127.0429879,37.65314858
10705,77,127.0315762,37.65093091
10706,137,127.0476148,37.64883594
10707,147,127.0484814,37.64690503
10710,312,127.0473106,37.66102279
10711,408,127.0422137,37.65911888
10712,56,127.0150585,37.66159527
10713,553,127.0419655,37.65900932
10714,175,127.047302,37.66090129
10722,20,127.0405808,37.6784433
10734,230,127.0215235,37.64976268
10735,276,127.0465761,37.67170352
10736,253,127.0462017,37.6512488
10737,38,127.0508882,37.68577231
10740,360,127.0466203,37.66364111
10744,29,127.0389686,37.67812741
10745,304,127.0351294,37.65126856
10747,177,127.0264135,37.65750663
10754,106,127.0204549,37.65017432
10757,106,127.0361707,37.67781379
10775,195,127.0331324,37.65112818
10777,220,127.0171718,37.65273344
10778,39,127.0390098,37.67801291
10779,280,127.0298861,37.6508764
10780,314,127.0160407,37.65455489
10781,10,127.0404436,37.67830136
10783,162,127.0317994,37.64388874
10784,250,127.0156935,37.65602156
10785,67,127.0313626,37.65099437
10786,36,127.0504181,37.68645891
10787,27,127.0423896,37.67893189
10789,258,127.0291861,37.644436
10790,173,127.0152443,37.65730919
10791,93,127.0493513,37.6879849
10792,18,127.0434267,37.67952555
10797,51,127.0435799,37.67863786
10798,211,127.027755,37.66019455
10799,1554,127.0466218,37.6893523
10800,33,127.0436377,37.67694818
10802,16,127.0492539,37.6879547
10803,21,127.0435195,37.67547791
10804,106,127.0275539,37.66256839
10805,17,127.0425443,37.67458345
10806,284,127.0281772,37.66368791
10807,47,127.0410712,37.67312907
10808,199,127.0324976,37.66664079
10809,35,127.0397286,37.67103466
10810,121,127.0507578,37.68570981
10812,150,127.0513059,37.6841205
10813,180,127.0463217,37.6705238
10814,90,127.0507184,37.68199455
10815,356,127.0461269,37.66882918
10816,35,127.049583,37.68023846
10817,172,127.0460509,37.66738084
10818,234,127.0475577,37.68056211
10819,313,127.0462139,37.66577949
10820,84,127.0494261,37.67905424
10821,228,127.0464669,37.66394114
10822,50,127.0486549,37.67696087
10826,176,127.0470964,37.6747126
10828,164,127.0465181,37.67246472
10831,53,127.0502219,37.68649706
10834,256,127.0159904,37.6545773
10836,354,127.0232458,37.64882638
10838,21,127.0184863,37.65726781
10841,62,127.0183494,37.65157223
10842,25,127.0183307,37.65156775
10843,14,127.0450452,37.67116512
1101,450,126.9694326,37.5875739
1102,1585,126.970341,37.58330295
1103,398,126.9696701,37.58717108
1104,439,126.9710437,37.58511248
1105,91,126.9725944,37.58790085
1106,317,126.9671282,37.59219358
1107,372,126.9671677,37.59225741
1108,124,126.9724615,37.58812866
1109,447,126.971148,37.58504593
1110,1974,126.9711089,37.58033173
11101,732,127.0740264,37.62270783
11102,691,127.073716,37.62313689
11103,834,127.0750642,37.61955995
11104,656,127.0749268,37.61944289
11105,1294,127.0745847,37.61734244
11106,494,127.0744608,37.61714368
11107,158,127.0727223,37.61778693
11108,81,127.0735696,37.61865704
11109,49,127.0717579,37.62126357
1111,1488,126.971244,37.58048929
11110,93,127.0724109,37.62215265
11111,70,127.0711759,37.62296739
11112,591,127.0781709,37.61945188
11113,371,127.0798329,37.61920408
11114,601,127.0796043,37.61896042
11115,481,127.0782949,37.61903633
11116,896,127.0776753,37.61844638
11117,1854,127.0764683,37.61785619
11118,1820,127.083212,37.61989823
11119,67,127.0760683,37.62686577
1112,1036,126.9705348,37.58308184
11120,589,127.0741194,37.6260469
11121,427,127.0763799,37.63022761
11122,588,127.0776933,37.62764855
11123,94,127.0777116,37.62756516
11124,566,127.0783291,37.62743688
11125,359,127.080462,37.62758277
11126,246,127.0801978,37.62739603
11127,1037,127.0821893,37.62830119
11128,895,127.0791881,37.62657836
11129,670,127.079491,37.62369927
1113,1227,126.9680206,37.57511252
11130,416,127.0789297,37.62136482
11131,392,127.0789848,37.62137307
11132,689,127.0794594,37.62369307
11133,195,127.0850075,37.62825619
11134,643,127.0851185,37.62745982
11135,794,127.0859091,37.62603821
11136,943,127.0859982,37.62517279
11137,411,127.0865569,37.623791
11138,500,127.0865964,37.62315584
11139,2388,127.0835905,37.62022159
1114,3428,126.9713179,37.57609006
11140,398,127.0882992,37.62195832
11141,1136,127.0880501,37.62202215
11142,291,127.0911972,37.62403655
11143,577,127.0902982,37.62351529
11144,247,127.094796,37.626145
11145,353,127.0945578,37.62616223
11146,24,127.0960476,37.6277277
11147,48,127.0961716,37.62820142
11148,30,127.0984082,37.63038365
11149,20,127.0983472,37.63052769
1115,3548,126.9722922,37.57688877
11150,42,127.1031471,37.63344761
11151,38,127.1036061,37.63389106
11152,67,127.106183,37.63564568
11153,47,127.1055488,37.63524282
11154,162,127.1082921,37.63840364
11155,104,127.1083832,37.63869346
11156,108,127.1113111,37.64081303
11157,633,127.0796748,37.62600437
11158,809,127.0870092,37.62227451
11159,718,127.0716619,37.62843151
1116,4080,126.9721844,37.57764064
11160,1079,127.0715555,37.62832177
11161,786,127.0726013,37.62652142
11162,813,127.0725053,37.62638392
11163,138,127.0714602,37.62521629
11164,80,127.070989,37.62685731
11165,113,127.0708911,37.62690587
11166,81,127.069889,37.62845669
11167,182,127.0698533,37.62858541
11168,363,127.0685219,37.62870648
11169,276,127.0683999,37.62866508
1117,1891,126.9787905,37.57577149
11170,476,127.0777476,37.62806084
11171,245,127.0676979,37.63032395
11172,227,127.0832344,37.63111655
11173,18,127.0716118,37.63068656
11174,167,127.0832847,37.6322457
11175,61,127.073351,37.62946215
11176,422,127.0755341,37.62673318
11177,796,127.0736597,37.62592821
11178,63,127.0695941,37.63126085
1118,4112,126.9772023,37.5724045
11180,538,127.0582739,37.66293355
11181,282,127.0545443,37.66142594
11182,219,127.0576277,37.66119637
11183,500,127.0590215,37.66035089
11184,1172,127.0588384,37.66036996
11185,1931,127.0598301,37.65742192
11186,1641,127.0596629,37.65736077
11187,52,127.0598243,37.66097173
11188,204,127.0628299,37.66051725
11189,290,127.0598361,37.66106139
11190,273,127.0617074,37.66510893
11191,998,127.0587794,37.66463892
11192,79,127.0644641,37.65954678
11193,70,127.0645404,37.6592832
11194,397,127.0532535,37.67859967
11195,438,127.053292,37.67850451
11196,2506,127.0553888,37.67717465
11197,1319,127.055214,37.67735401
11198,1335,127.0553974,37.67353544
11199,1336,127.0557333,37.67290667
1120,1405,126.9764107,37.57003982
11200,938,127.0509544,37.67171883
11201,212,127.0525505,37.67081311
11202,63,127.055367,37.689128
11203,42,127.0555093,37.68900604
11204,271,127.0552657,37.68283904
11205,204,127.0553624,37.68291178
11206,551,127.0552854,37.68020928
11207,453,127.055461,37.67983171
11208,188,127.0659842,37.6576585
11209,358,127.0661058,37.65771013
11210,3550,127.061729,37.655991
11211,4923,127.0634158,37.65627996
11212,1272,127.0625687,37.65478241
11213,1535,127.0639087,37.65506701
11214,509,127.0674197,37.65431199
11215,492,127.0680294,37.65242211
11216,67,127.0693639,37.65144079
11217,398,127.070652,37.652536
11218,396,127.0715784,37.65393445
11219,384,127.0716965,37.65392694
11220,305,127.0716818,37.65752575
11221,250,127.0717652,37.65774574
11222,613,127.0707255,37.65850811
11223,456,127.0708095,37.6586267
11224,440,127.0808839,37.6697866
11225,540,127.0808296,37.66977623
11226,178,127.0793465,37.66801836
11227,630,127.0778557,37.66611632
11228,651,127.0785356,37.6669398
11229,366,127.0771623,37.66508659
1123,1597,126.9713844,37.56993064
11230,319,127.0765121,37.66431816
11231,546,127.0761813,37.66374572
11232,320,127.0824109,37.67081032
11233,253,127.072079,37.66026703
11234,217,127.0706907,37.66146381
11235,146,127.0708418,37.66140671
11236,207,127.0691432,37.66274028
11237,655,127.0691349,37.66282347
11238,782,127.0666645,37.6642942
11239,1229,127.0666194,37.6643643
1124,410,126.9731311,37.57020901
11240,970,127.0736059,37.66106496
11242,356,127.0676416,37.65753436
11243,575,127.0717365,37.66064607
11244,3256,127.0610812,37.65212848
11245,1549,127.0618109,37.64968545
11246,1123,127.062996,37.64717994
11247,519,127.0592327,37.64511848
11248,413,127.059519,37.64520609
1125,230,126.9757675,37.57023908
11251,1254,127.0572814,37.65428443
11252,745,127.0573974,37.65429061
11253,119,127.0574521,37.64795498
11254,28,127.0603974,37.65117501
11255,2232,127.06098,37.65315793
11256,1531,127.061674,37.65075814
11257,1982,127.0627792,37.64798542
1126,3775,126.9767122,37.57266095
11260,415,127.0672504,37.65442817
11261,356,127.0679049,37.65237288
11262,340,127.0673616,37.65750775
11266,363,127.0518389,37.67084994
11267,914,127.0567208,37.66831671
11268,775,127.0575066,37.66533869
11269,692,127.0582719,37.66215221
1127,3335,126.9714955,37.57590104
11270,132,127.0545593,37.66154489
11271,405,127.0574348,37.6613363
11272,526,127.0567579,37.66885977
11273,1244,127.0573535,37.6665961
11274,703,127.065465,37.66447984
11275,518,127.0646094,37.66463815
11276,347,127.0616314,37.6651531
11277,799,127.0598056,37.66486222
11278,2062,127.0617708,37.62266212
11279,833,127.0620292,37.62230307
1128,1973,126.9680705,37.57494659
11280,327,127.064278,37.61677
11281,554,127.060144,37.622966
11282,304,127.0642514,37.61688292
11283,8039,127.0650457,37.61481352
11284,1707,127.067004,37.61519435
11285,714,127.0586755,37.62038985
11286,825,127.0599073,37.62271878
1129,618,126.9768398,37.56969249
11291,715,127.0522515,37.63536816
11292,314,127.0521829,37.63311067
11293,559,127.050804,37.632351
11294,550,127.0510352,37.6316225
11295,414,127.0440963,37.63248168
11296,434,127.0440369,37.63247665
11297,134,127.045207,37.63067733
11298,91,127.0470997,37.6281242
11299,261,127.0475735,37.62769435
1130,1452,126.9819731,37.57573943
11300,904,127.0501951,37.627464
11301,792,127.0502978,37.62722748
11302,919,127.0513102,37.62659232
11303,666,127.0515538,37.62685747
11304,325,127.0525553,37.62748911
11305,283,127.0526218,37.62741764
11306,907,127.0538662,37.62831614
11307,774,127.0539345,37.62824474
11308,430,127.055404,37.62844567
11309,464,127.0554459,37.62855231
1131,1654,126.9840963,37.57597118
11310,1269,127.0525764,37.62620509
11311,857,127.0553104,37.62794844
11312,838,127.0692573,37.61574108
11313,200,127.069914,37.61825517
11314,259,127.0698911,37.61941184
11315,354,127.0698827,37.6199742
11317,316,127.0692904,37.62157266
11318,325,127.0684705,37.62312995
11319,310,127.0684874,37.62334441
1132,648,126.960969,37.604688
11320,246,127.067334,37.62520472
11321,210,127.0674315,37.62525316
11322,282,127.0658886,37.62651085
11323,197,127.0683029,37.62361989
11324,94,127.0640733,37.62841016
11325,35,127.0648971,37.62754535
11326,444,127.0605749,37.63209707
11327,176,127.0604975,37.63203056
11328,692,127.0592472,37.6339296
11329,346,127.0591273,37.63373016
1133,1548,126.9612836,37.60248796
11330,135,127.0522492,37.63388994
11331,786,127.057411,37.62851471
11332,241,127.0591244,37.62819148
11333,205,127.0563326,37.61897686
11334,239,127.0566594,37.61886607
11335,557,127.0582047,37.61981754
11336,1081,127.0601348,37.62299196
11337,680,127.0513302,37.62525669
11338,1828,127.0574366,37.62911674
11339,1393,127.0616454,37.63190225
1134,353,126.9587715,37.60066502
11340,1778,127.0615722,37.63170103
11341,39,127.0523484,37.62230844
11343,15,127.0507233,37.62407532
11344,167,127.0451426,37.63066231
11345,275,127.0571362,37.62858653
11346,232,127.059169,37.62823425
11347,844,127.0691829,37.64974731
11348,3170,127.0772766,37.65196793
11349,1635,127.0766498,37.64993911
1135,242,126.958688,37.599605
11350,60,127.0765401,37.64723115
11351,114,127.0749941,37.64483897
11352,431,127.07429,37.64667005
11353,281,127.0741862,37.6465377
11354,1032,127.073964,37.64764417
11355,1044,127.0740001,37.64755624
11356,871,127.0709658,37.64764362
11357,651,127.0712772,37.64772367
11358,624,127.0701324,37.64736727
11359,240,127.0716421,37.6504856
1136,854,126.9618276,37.598269
11360,100,127.0709643,37.65015818
11361,208,127.0737195,37.65252983
11364,395,127.0749303,37.65074006
11365,458,127.0767538,37.65450262
11366,1489,127.0645692,37.64389712
11367,2036,127.066602,37.6394439
11368,81,127.0641219,37.63904627
11369,342,127.0642001,37.63917516
1137,732,126.9637112,37.59558027
11370,36,127.0626378,37.64240612
11371,40,127.0630757,37.64169021
11372,1014,127.0627056,37.64523882
11373,1075,127.0651977,37.64293696
11374,1892,127.066285,37.64055534
11375,1093,127.065418,37.64604662
11376,1580,127.0648651,37.64579482
11377,411,127.067988,37.647847
11378,367,127.0679032,37.64754253
11379,675,127.0691681,37.64954487
1138,572,126.964027,37.592874
11380,878,127.0700462,37.64689022
11381,530,127.0715163,37.64356615
11382,163,127.0691557,37.64206143
11383,172,127.0689908,37.64191868
11384,70,127.0676814,37.64164761
11385,46,127.0670028,37.64136032
11386,176,127.0687153,37.6407474
11387,12,127.0689532,37.6392981
11388,40,127.0670535,37.64467212
11389,45,127.0669993,37.64452655
1139,502,126.965131,37.59275754
11390,1303,127.0637774,37.64602582
11391,976,127.0741882,37.66140408
11392,3494,127.0730637,37.65928637
11393,3499,127.0730466,37.65943258
11394,812,127.0772633,37.65696949
11395,1396,127.077945,37.656805
11396,555,127.0780894,37.6550475
11397,451,127.078234,37.65375496
11398,1749,127.0774248,37.65194765
11399,614,127.0776353,37.65061805
1140,712,126.9638097,37.59559179
11400,321,127.0774262,37.65069252
11401,129,127.0714745,37.6254068
11402,244,127.0801592,37.65064071
11403,984,127.081,37.65003902
11404,271,127.0809596,37.64929717
11405,286,127.080723,37.64848569
11406,682,127.0805985,37.64748292
11407,929,127.0818381,37.64608966
11408,883,127.0818583,37.64613248
11409,201,127.0830814,37.64460947
1141,820,126.9622117,37.59814363
11410,497,127.0797556,37.64802963
11411,431,127.0794418,37.64811073
11412,323,127.0774634,37.64791998
11413,352,127.0774771,37.64799946
11414,2768,127.0767721,37.64963735
11415,126,127.0766789,37.64730323
11416,2359,127.0680753,37.63653404
11417,1021,127.0688319,37.63481213
11418,447,127.076142,37.63066374
11419,46,127.0765471,37.64355156
1142,421,126.9592186,37.59955974
11420,17,127.0763862,37.64354159
11421,47,127.0760521,37.63942638
11422,44,127.0757454,37.63926909
11423,328,127.078828,37.63762
11424,366,127.0774571,37.63798315
11425,2821,127.0691715,37.63638884
11426,2952,127.0695595,37.63677871
11428,311,127.0700074,37.63811656
11429,296,127.0707323,37.63734999
1143,463,126.958889,37.60061499
11430,172,127.0672508,37.65496435
11431,14,127.0623795,37.64326542
11432,12,127.0619285,37.64430825
11433,478,127.0733138,37.63796593
11434,972,127.0744265,37.63834516
11435,1023,127.0743129,37.63936941
11436,623,127.0729635,37.64047446
11437,1009,127.0723824,37.64205282
11438,1207,127.072313,37.64182535
11439,408,127.0743981,37.6441888
1144,1853,126.9613311,37.60229124
11440,355,127.074445,37.64431
11441,111,127.0748999,37.64479345
11442,543,127.0710261,37.64492209
11443,141,127.0690542,37.64024873
11444,10,127.0691087,37.63925299
11445,190,127.0740715,37.63100015
11446,193,127.0735116,37.63104039
11447,1890,127.0678123,37.63670819
11448,1128,127.0689471,37.63411821
11449,33,127.0687885,37.63191208
11450,30,127.0682039,37.63179763
11451,41,127.0655049,37.63629172
11452,925,127.064784,37.63383842
11453,1285,127.0654499,37.63410144
11454,1917,127.066903,37.63515524
11455,2267,127.0668981,37.63499267
11456,103,127.064586,37.638
11457,330,127.06492,37.614739
11458,253,127.072908,37.65157
11459,73,127.0663973,37.63396139
1146,765,126.9611311,37.60470411
11460,25,127.0617785,37.64438116
11461,20,127.0622893,37.64320648
11462,71,127.0595092,37.64842317
11463,100,127.0571813,37.65045386
11464,379,127.0692272,37.62148594
11465,341,127.0552244,37.61985257
11466,91,127.0716052,37.63511352
11467,61,127.0716117,37.63520248
11468,317,127.0552801,37.61972396
11469,23,127.0723882,37.63293352
11470,39,127.0722608,37.6329488
11474,153,127.0510561,37.63007131
11475,65,127.0510548,37.6303417
11476,552,127.0641367,37.61707444
11477,92,127.057808,37.629458
11478,271,127.078677,37.61835209
11479,216,127.0669835,37.6151895
1148,43,126.9563453,37.61158733
11481,2814,127.0649949,37.61479561
11482,79,127.0529217,37.62606974
11485,640,127.064287,37.628066
11486,1345,127.064376,37.628128
11487,65,127.083538,37.64408247
11489,63,127.0705878,37.63741689
1149,159,126.9564726,37.61003593
11490,137,127.0692983,37.61575102
11491,403,127.0823292,37.6708064
11493,464,127.050654,37.62688664
11499,151,127.046189,37.6296572
1150,494,126.956184,37.60854039
11500,130,127.0462443,37.62967733
11501,31,127.068141,37.62388282
11502,111,127.0636978,37.66023625
11503,160,127.0526173,37.68716786
11504,82,127.0641523,37.65967074
11505,441,127.0705648,37.63172583
11506,260,127.0514997,37.62623521
11507,18,127.0826997,37.63885341
11508,26,127.083169,37.644166
11509,19,127.0826051,37.63890333
1151,464,126.9564398,37.6083598
11511,164,127.0602819,37.67463827
11512,258,127.0571073,37.64217849
11513,868,127.0519292,37.66700264
11514,297,127.066513,37.66671006
11515,2999,127.0735011,37.66074086
11516,40,127.0578894,37.67497154
11518,105,127.0551275,37.66705829
