표준ID,버스정류장ARS번호,정류소명,X좌표,Y좌표
100000126,1222,방송통신대.이화장,127.0020798,37.5781308
100000127,1223,이화동(이화장),127.0007064,37.57605806
100000128,1224,창경궁.서울대학교병원,126.9967379,37.57881833
100000129,1225,이화동(이화장),127.0032823,37.57603475
100000130,1226,혜화동로터리,127.0008281,37.58572598
100000131,1227,명륜동2가.성균관대입구,126.9992936,37.58340673
100000132,1228,혜화역.서울연극센터(장면총리가옥),127.0014345,37.58403777
100000133,1229,혜화역.동성중고(장면총리가옥),127.0015281,37.58454158
100000135,1231,종로구민회관.창신동두산아파트,127.0155868,37.57409223
100000139,1235,동묘역앞,127.0156382,37.57168703
100000140,1236,동묘역앞,127.0157698,37.57189158
101000307,1237,청계2가교차로,126.9878779,37.5684809
100000142,1238,창신3동주민센터,127.0151881,37.57877438
100000143,1239,숭인1동주민센터,127.0152404,37.57875171
100000144,1240,동묘역.롯데캐슬천지인,127.015664,37.57418192
100000147,1243,신설동로터리,127.0229469,37.57585614
100000364,1245,동묘앞,127.0178407,37.57368465
100000150,1246,구기동현대빌라,126.9565957,37.60964243
100000151,1247,광장시장,126.9978384,37.56950211
100000153,1249,혜화경찰서,126.997571,37.57258424
100000154,1250,서울역사박물관.김구집무실(경교장),126.9721428,37.57002979
100000155,1251,청계3가.관수교,126.9937893,37.56860916
100000156,1252,청계6가.버들다리,127.0080442,37.56983829
100000157,1253,청계7가.맑은내다리,127.0129569,37.5699186
100000158,1254,청계8가.영도교,127.018274,37.57089463
100000159,1256,원남동사거리,126.9982124,37.57578617
100000165,1262,숭인동,127.0203787,37.57438126
100000169,1267,조계사,126.9830466,37.57279704
100000174,1272,세종문화회관,126.9766821,37.57334287
100000179,1277,이화동(이화장),127.0029997,37.5761872
100000180,1278,상명대정문,126.9550659,37.60166612
100000181,1279,이북오도청,126.955893,37.61305175
100000188,1286,상명대입구.세검정교회,126.9597659,37.59939339
100000189,1287,상명대입구.석파랑,126.9583524,37.59976676
100000190,1288,종로중부새마을금고,127.0065017,37.57239261
100000191,1289,신설동로터리.신한은행앞.서울풍물시장,127.023202,37.57438854
100000192,1291,청계2가.삼일교,126.9872038,37.56827105
100000193,1292,청계8가.황학교,127.0227587,37.57202421
100000355,1293,평창동삼성아파트,126.9786583,37.61114471
100000370,1294,안국역.종로경찰서.인사동,126.985459,37.57644246
100000369,1295,안국역.종로경찰서.인사동,126.9848482,37.57631159
100000413,1297,남인사마당,126.9875497,37.5713121
100900047,1500,평창파출소,126.9668407,37.60565062
100900178,1501,삼청공원,126.9816831,37.58820522
100900041,1502,수성동계곡,126.9642468,37.58207926
100900040,1503,명륜3가종점,126.992862,37.59094741
100900197,1504,명륜새마을금고,126.996701,37.587775
100900044,1505,서대문3번출구,126.9661707,37.56638695
100900039,1506,낙산공원,127.0087267,37.5804315
100900037,1507,인사미술공간.세탁소,126.9893928,37.5814087
100900036,1508,화정박물관,126.9648999,37.60477714
100900035,1509,금융연수원,126.9816318,37.58659721
100900034,1510,박노수미술관,126.9666083,37.58102384
100900032,1511,샘미용실,126.9932462,37.59031994
100900031,1512,서울국제고등학교,126.9972253,37.58909477
100900029,1513,화정박물관,126.9652221,37.6050003
100900188,1514,적십자병원후문앞,126.9651082,37.56746105
100900202,1515,서울성곽.성대후문,126.9896242,37.58936828
100900026,1516,빨래터.고희동미술관,126.9893435,37.58265202
100900025,1517,세검초등학교,126.9613774,37.60421635
100900024,1518,삼청동주민센터,126.9819214,37.58426224
100900020,1519,통인시장,126.9687475,37.58045056
100900021,1520,양현관,126.9936156,37.58979638
100900017,1521,국민생활관,126.9988862,37.58982995
100900016,1522,오거리,126.9622896,37.60708503
100900015,1523,경희궁자이2.3단지,126.963958,37.56872813
100900013,1524,창신쌍용2단지.한성대후문,127.012764,37.581314
100900045,1525,통일부,126.9856444,37.58757377
100900011,1526,원서고개,126.9878078,37.58313929
100900009,1528,종로5가입구.혜화경찰서,126.9976354,37.57175197
100900007,1529,삼청파출소,126.9812527,37.58181295
100900005,1530,오거리.한옥마을입구,126.9695468,37.57949911
100900046,1531,명륜시장.성대후문,126.9952895,37.58852435
100900003,1532,혜화초등학교,126.9998817,37.58725861
100900072,1533,청련사입구,126.9624033,37.60802413
100900071,1534,영천시장,126.9627339,37.56993749
100900070,1535,명신초.삼선푸르지오.힐스테이트,127.0145303,37.58214747
100900069,1536,감사원,126.9853527,37.58630021
100900068,1537,중앙중고,126.9869646,37.58313014
100900067,1538,인왕빌딩,126.9576748,37.60787761
100900066,1539,종로4가.종묘공원,126.9933354,37.57053493
100900174,1540,국립민속박물관,126.9795529,37.57925522
100900065,1541,광화문새마을금고,126.971144,37.5794299
100900064,1542,새마을금고,126.996533,37.587764
100900063,1543,혜화우체국,127.000652,37.58606005
100900062,1544,언덕앞,126.9637502,37.60897784
100900061,1545,경희궁자이4단지,126.9620022,37.57062718
100900060,1546,종로센트레빌후문.e편한세상보문아파트,127.0161805,37.58181551
100900059,1547,사우디대사관앞.경남빌라,126.9850108,37.58410605
100900058,1548,안국선원.삼거리,126.9849937,37.58279098
100900182,1549,구기터널입구,126.9568023,37.60824748
100900057,1550,종로3가.1.3.5호선,126.9920673,37.5710577
100900056,1551,경복궁,126.9794156,37.57694919
100900055,1552,경복궁역,126.9723619,37.57669709
100900054,1553,소나무집,126.9641242,37.61133533
100900186,1554,독립문역3번출구,126.9596864,37.57284056
100900053,1555,청룡사.보문파크뷰자이아파트,127.0170513,37.58001947
100900052,1556,북촌한옥마을입구.정세권활동터,126.9849792,37.58159945
100900217,1557,종로1.2.3.4가동주민센터,126.9910279,37.5743637
100900051,1558,창덕궁,126.9905176,37.57606978
100900050,1561,아름다운실버,126.9654343,37.61202201
100900049,1562,독립문초등학교,126.9607061,37.57385981
100900206,1563,종로센트레빌아파트,127.0156407,37.58034969
100900048,1564,가회동주민센터,126.9849331,37.5799374
100900097,1565,문방구,126.9579492,37.6062969
100900096,1566,원남로터리,126.9973507,37.57622486
100900095,1567,보현산신각,126.9657637,37.61347641
100900094,1568,천사유치원,126.9618149,37.57467705
100900093,1569,쌍용아파트입구.창신역,127.0150007,37.58051063
100900092,1570,아름다운가게.정독도서관,126.9850932,37.57891938
100900091,1571,산정빌라,126.9574985,37.60515273
100900090,1572,이화사거리,127.0021147,37.57647127
100900089,1573,박종화고택입구,126.9676637,37.61433238
100900088,1574,무악현대아파트후문,126.9619725,37.57630822
100900086,1576,헌법재판소.안국역,126.9857196,37.57757327
100900184,1577,청구빌라,126.9569707,37.60461247
100900085,1578,서울대어린이병원응급실.갑상선센터,126.9994856,37.57815458
100900083,1580,화인빌라,126.9685484,37.61297509
100900082,1581,넓은마당,126.9628884,37.57527297
100900207,1582,창신초등학교,127.015387,37.57690312
100900081,1583,수운회관,126.9866595,37.57519246
100900080,1584,상명대후문,126.9573503,37.6040312
100900079,1586,힐탑,126.9690414,37.61163964
100900187,1587,신학대학교총회본부,126.9634435,37.57397598
100900078,1589,낙원상가,126.9874228,37.57372579
100900077,1590,완성빌라,126.9575212,37.60340672
100900076,1591,서울대병원장례식장,126.9974252,37.58053639
100900075,1592,혜화역1번출구,127.0017606,37.58343559
100900074,1593,감나무골공원,126.9699425,37.61240568
100900073,1594,한국사회과학자료원,126.9640915,37.57365155
100900205,1595,동묘역,127.0142449,37.5726953
100900121,1596,금강제화,126.98757,37.57055096
100900120,1597,경진빌라,126.9578485,37.60199096
100900198,1598,성균관대학교앞,126.9992644,37.58337953
100900176,1599,kt광화문지사,126.9772156,37.57190009
100900119,1607,EN갤러리,126.9706926,37.61344769
100900118,1667,종로문화센터,126.9645715,37.57466302
100900117,1682,동대문역.2번출구,127.0117451,37.57198805
100900116,1683,종각역YMCA,126.9853306,37.57027694
100900115,1684,서교빌라,126.9571666,37.60203769
100900177,1685,경복궁역,126.972396,37.57705527
100900195,1686,연건동,127.0007564,37.57606354
100900199,1697,성대입구,126.9989021,37.58323265
100900114,1698,무애사,126.9718335,37.61390077
100900113,1699,단군성전앞,126.9652997,37.57558773
100900192,1702,동대문종합시장,127.0062452,37.57116462
100900112,1714,상명초등학교,126.9566832,37.60093683
100900179,1720,법련사,126.9795903,37.57658927
100900111,1721,광화문새마을금고,126.9710253,37.57954714
100900110,1722,성균관대학교,126.9971587,37.58501732
100900109,1723,참샘골공원,126.9741219,37.61460832
100900108,1724,활터앞,126.9653646,37.57685248
100900107,1725,종로5가.3번출구,127.0019717,37.57142206
100900106,1727,인사동들머리.3.1독립선언터,126.9832651,37.57202968
100900105,1728,정독도서관,126.9800442,37.58021772
100900104,1729,오거리.한옥마을입구,126.9697374,37.57951132
100900103,1732,밀알기도원,126.9757357,37.61639742
100000330,1763,종로1가,126.9804547,37.570265
100900102,1776,종로도서관,126.9670812,37.57654334
100900101,1790,종로사우나,126.9875872,37.57374132
100900180,1791,엄마분식,126.9557385,37.60126624
100900100,1792,삼청파출소,126.9812398,37.58168273
100900099,1793,통인시장.종로구보건소,126.968674,37.58032702
100900191,1794,종로5가역,127.0000159,37.57077778
100900098,1795,평창공원지킴터입구,126.9770157,37.61727036
100900145,1796,배화여중고,126.9678404,37.57676539
100900143,1797,대학로입구.이화사거리,127.0025921,37.57608577
100900144,1798,운현궁,126.9868071,37.57523204
100900142,1799,상명대입구,126.9570083,37.6000343
100900141,1800,삼청동주민센터,126.982067,37.58470051
100900140,1801,박노수미술관,126.9669162,37.5810715
100900139,1802,김창열.윤명로화실,126.9783839,37.61634256
100900138,1803,사직동주민센터,126.9689265,37.57626303
100900137,1804,충신시장,127.0054957,37.57502156
100900189,1805,안국역2번출구앞,126.9860701,37.57715641
100900135,1807,금융연수원,126.9817788,37.58586652
100900134,1809,감람산기도원,126.9798977,37.61594859
100900133,1810,카센터.터널앞,126.9658959,37.57409154
100900131,1812,재동초등학교,126.9852803,37.57876787
100900129,1814,삼청공원삼거리.옥호정터,126.9817114,37.58741767
100900128,1815,이화사거리,127.0021613,37.57532444
100900127,1816,연화정사,126.9795064,37.61465067
100900126,1817,대신중고,126.9616841,37.57248345
100900125,1819,현대사거리,126.9866293,37.57927377
100900215,1820,교남동주민센터,126.9613244,37.57218653
100900181,1821,부암동주민센터.무계원,126.9639626,37.59297029
100900124,1823,형제봉입구,126.9816904,37.61286785
100900123,1824,교남동새마을금고,126.9623511,37.57154717
100900122,1825,창신초교,127.01556,37.57600289
100900168,1826,가회동주민센터,126.9850463,37.57994426
100900167,1827,볼링장,126.9879587,37.57928821
100900166,1829,부암슈퍼,126.9637118,37.59475041
100900165,1830,지구촌교회,126.9793714,37.61308365
100900164,1831,월암공원,126.9640609,37.57120167
100900163,1832,숭인1동주민센터,127.0154152,37.57740683
100900162,1833,북촌한옥마을입구.정세권활동터,126.9850874,37.58128235
100900161,1835,하림각,126.9629357,37.59766118
100900160,1836,보현빌라,126.9782677,37.61527342
100900159,1837,스위스대사관,126.9658537,37.57002014
100900157,1839,안국선원.삼거리,126.9851065,37.58274414
100900156,1840,세검정교회,126.9594376,37.59949975
100900200,1841,혜화동로터리,127.001025,37.585841
100900155,1842,김종영미술관,126.9781674,37.61328458
100900154,1843,서울시교육청,126.966867,37.569301
100900210,1844,창신쌍용1단지.종로센트레빌아파트,127.0155933,37.58032364
100900153,1845,사우디대사관,126.9851204,37.58386431
100900152,1846,상명대입구,126.9573863,37.5998416
100900151,1847,혜화초등학교,126.9999339,37.58737916
100900150,1848,북악파크,126.9778838,37.61096487
100900149,1849,강북삼성병원,126.9683774,37.56855092
100900148,1850,청룡사.보문파크뷰자이아파트,127.0170716,37.57980742
100900147,1851,감사원,126.9855847,37.58630026
100900201,1852,국민생활관,126.9992595,37.58961857
100900146,1853,귀빈예식장,126.9732873,37.60904692
100900173,1855,종로센트레빌후문.e편한세상보문아파트,127.0162427,37.58192679
100900172,1856,통일부,126.9862356,37.58750461
100900171,1858,서울국제고등학교,126.9971357,37.58907642
100900203,1860,성대후문.와룡공원,126.9898018,37.58904414
100900170,1861,상명초등학교,126.956804,37.60091032
100900169,1862,새마을금고,126.996591,37.587869
100900002,1863,경진빌라,126.9579113,37.60189002
100900004,1864,명륜시장.성대후문,126.9952574,37.5887412
100900006,1865,완성빌라,126.9576706,37.60334091
100900008,1866,양현관,126.9937845,37.58977769
100900010,1868,상명대후문,126.9574659,37.60407255
100900012,1869,샘미용실,126.9934322,37.59026509
100900014,1870,산정빌라,126.9575841,37.60528498
100900018,1872,문방구,126.9579562,37.60615702
100900019,1873,마트앞,126.9587519,37.60670367
100900022,1874,국민은행.세검정지점,126.9608712,37.60491058
100900023,1875,화정박물관,126.9656123,37.60496243
100900027,1876,혜화역4번출구,127.0015413,37.5834723
100900028,1877,방송통신대앞,127.0020673,37.57869836
100900030,1878,서울대치과대학,126.9977684,37.57739445
100900033,1879,효제초교.연동교회.김마리아활동터,127.002064,37.57364661
100900204,1881,성균관대학교,126.9900098,37.58846735
100900214,1882,독립문역,126.959303,37.57321672
100900038,1883,서울대치과대학,126.9978353,37.57755076
100900043,1886,이화사거리,127.0021044,37.57694962
100900042,1887,서울대학교병원현관.암병원현관,126.9981605,37.57896524
100900211,1888,종각.공평유적전시관,126.9830861,37.57159451
100900213,1889,조계사,126.9829895,37.57386103
100000407,1902,대학로,127.0020228,37.58188699
100000408,1903,창경궁,126.9965212,37.57916918
100000409,1904,창덕궁,126.990206,37.57743704
100000410,1905,인사동.북촌,126.9838224,37.57585495
100000411,1906,경복궁.국립민속박물관,126.979846,37.5801956
100000412,1907,세종문화회관,126.9767655,37.57113398
100000401,1910,통인시장,126.9713415,37.57912062
100000402,1911,세종문화회관,126.9767311,37.57210934
101000313,1912,종각역,126.9829141,37.56937833
100000403,1913,인사동.탑골공원,126.988798,37.57014462
100000404,1914,종묘.세운상가,126.9941937,37.5703916
100000405,1915,광장시장,126.9996619,37.57075889
100000406,1916,동묘.숭인동도깨비시장,127.0179931,37.57357278
105000553,1917,서울풍물시장,127.0232491,37.57334204
100000400,1918,청와대,126.9737047,37.58268388
101000001,2001,남대문세무서.서울백병원,126.987458,37.5649827
101000002,2002,서울백병원.국가인권위.안중근활동터,126.9878514,37.56435045
101000003,2003,서울역버스환승센터,126.972591,37.55503906
101000004,2004,서울역버스환승센터,126.9725522,37.55547764
101000005,2005,서울역버스환승센터,126.9725603,37.55537624
101000006,2006,서울역버스환승센터,126.9727727,37.55547526
101000007,2007,서울역버스환승센터.강우규의거터,126.9727727,37.5554664
101000008,2008,숭례문,126.9737883,37.55863332
101000303,2100,서울시청,126.980633,37.56606406
101000009,2101,만리동고개,126.9625261,37.55170287
101000010,2102,손기정체육공원입구,126.9662684,37.55438998
101000011,2103,"서울의료보건고등학교,서울역서부",126.9683795,37.5563011
101000012,2104,서울역서부,126.9691952,37.55631975
101000013,2105,서울역서부,126.9691859,37.55696436
101000014,2106,중림동교차로,126.9692102,37.55838734
101000015,2107,종근당.충정로역,126.96439,37.55961021
101000016,2108,한국경제신문사.서소문역사공원,126.9678362,37.56046067
101000017,2109,"한국경제신문사,서소문역사공원",126.9679823,37.56058349
101000018,2110,경찰청.동북아역사재단,126.969006,37.56299314
101000020,2113,서대문경찰서.농협은행.유관순활동터,126.9676563,37.56484788
101000021,2116,염천교,126.9733639,37.55983746
101000022,2117,숭례문,126.9732328,37.55801095
101000023,2118,숭례문.한국일보,126.9738535,37.55870646
101000025,2120,후암삼거리,126.976073,37.55332913
101000026,2121,숭례문,126.9742235,37.55884151
101000027,2122,숭례문,126.9740061,37.55859746
101000028,2123,숭례문,126.973524,37.55805813
101000029,2124,남대문시장악세사리전문상가,126.9759992,37.55857317
101000030,2125,숭례문남산방향,126.975803,37.55859067
101000031,2126,남대문시장,126.9800196,37.56132894
101000032,2127,북창동.남대문시장,126.9779335,37.56108129
